ID	S1G	S2G	T1G	T2G
140838	1.80256	1.63219	1.09141	1.43746
5232	0.0286535	0	0	0
26735	0	0	0.138528	0
347169	0.0565964	0	0	0
138881	0.0517839	0.0475915	0	0.0969535
6870	0.00819409	0	0.00771464	0
10465	20.5693	25.1174	22.0494	27.1281
125	0.000890275	0.000842887	0.00083562	0.000831494
4815	5.62188	4.31768	1.77054	1.27151
55689	2.25655	2.18315	2.10907	3.3198
10963	63.256	40.7438	34.8966	41.6395
7364	0.256503	0	0.205159	0.0468728
6869	0.114032	0.166327	4.40831	3.74754
8841	20.9587	19.3931	19.6779	22.7794
5724	0.748345	0.924949	1.17817	1.40085
54910	7.51837	13.3258	22.3965	16.9089
26505	4.00036	9.4945	7.97352	7.96326
3913	26.7541	11.677	47.645	62.2969
10421	8.41764	11.6721	11.5383	11.5433
6356	3.69455	5.44538	0.0969828	0.615858
51282	98.6009	133.827	84.1214	92.7948
79039	5.12901	3.09106	7.44487	9.88141
27258	7.08729	7.08739	7.05465	7.48222
79736	0.197279	0.368061	1.21264	0.196937
7804	0.663198	0.48171	0.307953	0.372731
171023	2.81785	4.1034	8.5749	8.75346
79188	22.0002	20.4937	37.4569	36.9867
5859	3.59666	1.66635	0.942887	1.09979
50626	6.09302	2.59253	7.7865	6.89342
27254	0.871525	0.710011	1.49199	2.00251
84913	0.538306	0.662416	15.118	7.1168
2637	0.0437319	0.0204183	0	0
129303	3.62378	2.44461	4.05791	3.68468
9482	3.4465	0.647865	2.48829	1.70737
51255	174.679	142.182	114.027	103.144
10791	48.5653	63.9747	113.377	68.3523
10580	1.27554	1.45951	4.43743	2.09893
4144	49.124	46.6915	48.9447	44.3426
197320	0.717357	0.590462	0.444375	0.766834
200350	0.00114413	0.085258	0.00241416	0.00539018
54538	1.8371	3.23054	12.4197	5.85674
79894	13.51	12.3009	13.9307	12.0091
56098	0.0371912	0.124265	0.188408	0.126023
55657	4.19871	2.68274	5.52871	5.19109
7324	21.2142	25.8488	25.0296	13.9982
26245	0	0	0	0.115653
201255	5.27406	3.76525	8.72599	9.00581
201254	12.2603	3.26724	12.8082	24.1829
79058	6.01953	4.91085	8.40369	10.8904
2194	308.562	23.1752	37.6569	73.498
4884	0.0249278	0.0835817	0.0548825	0.922564
64118	8.76128	4.20402	10.2774	7.43194
57521	3.14969	1.87133	4.71974	5.83678
2873	10.7171	11.0137	13.9004	10.4168
160518	0.310792	0.554716	1.21006	0.259136
51181	145.962	61.729	84.5281	91.3117
84342	3.4547	3.50237	4.46448	5.47061
5881	5.97181	8.66467	4.5517	9.89269
23620	0	0.0290796	0	0
54676	6.151	8.4209	9.38857	10.8605
51621	8.79845	14.1799	18.1192	16.4644
4543	0.0400263	0	0	0.0748722
116236	4.95929	2.6402	3.89896	3.0136
150353	0	0	0.0331304	0.0818242
8801	29.8209	22.8773	20.2789	18.7247
56139	0.532076	0.0518068	0.591105	0.632792
2815	0	0	0.0641665	0.0623481
116285	122.82	0.170196	5.16207	1.38699
64446	0	0	0.0113958	0
80709	0.169089	0.0478039	0.0430942	0.256247
598	26.4444	14.6884	12.9651	24.9296
57597	0.528003	0.0790879	2.06441	1.38135
84522	19.6946	19.228	19.0169	18.0506
9723	1.0426	0.136184	1.36165	1.7993
4245	67.5462	40.8491	60.0686	56.7575
6138	42.5028	49.1672	90.5508	73.6103
6730	13.9771	12.9832	20.836	18.766
112	6.98211	3.43591	7.83475	9.40547
1521	1.93927	1.26139	4.8855	3.66546
116113	8.74895	42.6088	18.6085	14.9575
30008	20.3131	18.7898	38.467	44.8214
81490	5.25868	8.92367	8.06963	10.3246
100288801	0.0111789	0.00960411	0	0.0104422
8534	16.9771	1.8701	3.05719	2.79139
80198	7.95902	9.98584	13.6802	16.0119
1072	716.003	550.688	350.821	382.445
5098	8.77434	8.06018	27.3449	29.2636
27115	0.181555	0.251853	1.13542	2.99541
93058	0.396659	1.61916	0.317147	0.175751
22843	0.0594759	0.557475	0.0140373	0.152679
5319	0	0	0.000539898	0.00106387
386724	2.87597	3.2873	1.21674	2.25172
836	4.98705	3.15625	1.22199	1.76399
84153	1.5204	1.8589	5.13178	3.97422
8639	4.33188	5.97186	26.1874	20.161
84896	1.02572	1.81059	2.20845	2.58078
